case;event;time
0;0;18.12.2018 09:49:18
0;1;18.12.2018 09:50:21
0;1;18.12.2018 09:50:21
0;1;18.12.2018 09:50:21
0;1;18.12.2018 09:50:21
0;1;18.12.2018 09:50:21
1;0;19.12.2018 15:48:34
1;2;19.12.2018 15:48:36
1;3;19.12.2018 15:48:42
1;4;19.12.2018 15:48:50
1;5;19.12.2018 15:49:09
1;5;19.12.2018 15:49:25
1;5;19.12.2018 15:49:35
1;5;19.12.2018 15:49:37
1;5;19.12.2018 15:49:38
1;5;19.12.2018 15:49:43
1;5;19.12.2018 15:49:46
1;5;19.12.2018 15:49:49
1;5;19.12.2018 15:49:51
1;5;19.12.2018 15:49:53
1;5;19.12.2018 15:49:54
1;5;19.12.2018 15:49:56
1;5;19.12.2018 15:49:57
1;5;19.12.2018 15:49:58
1;5;19.12.2018 15:49:59
1;5;19.12.2018 15:50:00
1;5;19.12.2018 15:50:01
1;5;19.12.2018 15:50:02
1;5;19.12.2018 15:50:03
1;5;19.12.2018 15:50:04
1;5;19.12.2018 15:50:05
1;5;19.12.2018 15:50:06
1;5;19.12.2018 15:50:08
1;5;19.12.2018 15:50:09
1;5;19.12.2018 15:50:52
1;5;19.12.2018 15:51:08
2;0;20.12.2018 09:39:42
2;2;20.12.2018 09:39:44
2;3;20.12.2018 09:39:52
2;6;20.12.2018 09:39:57
2;7;20.12.2018 09:40:11
2;8;20.12.2018 09:40:11
2;8;20.12.2018 09:40:11
2;8;20.12.2018 09:40:11
2;8;20.12.2018 09:40:11
2;8;20.12.2018 09:40:11
2;8;20.12.2018 09:40:11
2;8;20.12.2018 09:40:11
2;8;20.12.2018 09:40:11
2;8;20.12.2018 09:40:11
2;7;20.12.2018 09:40:16
2;4;20.12.2018 09:41:29
2;5;20.12.2018 09:44:53
2;5;20.12.2018 09:44:54
2;5;20.12.2018 09:44:55
2;5;20.12.2018 09:44:58
2;5;20.12.2018 09:45:00
3;0;18.12.2018 13:26:31
3;2;18.12.2018 13:26:32
3;3;18.12.2018 13:26:36
3;9;18.12.2018 13:26:51
3;10;18.12.2018 13:27:00
4;0;12.12.2018 06:35:50
4;2;12.12.2018 06:35:51
4;3;12.12.2018 06:35:56
4;11;12.12.2018 06:35:58
4;12;12.12.2018 06:38:45
4;13;12.12.2018 06:41:45
4;13;12.12.2018 06:42:03
4;11;12.12.2018 06:44:18
4;13;12.12.2018 07:03:33
4;13;12.12.2018 07:04:08
4;13;12.12.2018 07:05:58
4;11;12.12.2018 07:16:07
4;14;12.12.2018 07:22:49
5;0;18.12.2018 11:01:21
5;2;18.12.2018 11:01:22
5;3;18.12.2018 11:01:30
5;9;18.12.2018 11:01:52
5;9;18.12.2018 11:09:37
6;15;13.12.2018 12:01:16
7;0;11.12.2018 07:13:53
7;2;11.12.2018 07:13:54
7;3;11.12.2018 07:13:57
7;14;11.12.2018 07:14:01
7;16;11.12.2018 07:14:40
7;14;11.12.2018 07:14:41
7;17;11.12.2018 07:14:41
7;7;11.12.2018 07:14:42
7;16;11.12.2018 07:18:35
7;14;11.12.2018 07:18:35
7;7;11.12.2018 07:18:36
7;14;11.12.2018 07:31:06
8;0;10.12.2018 10:03:17
8;2;10.12.2018 10:03:19
8;3;10.12.2018 10:03:24
8;14;10.12.2018 10:04:18
9;0;17.12.2018 09:38:49
9;2;17.12.2018 09:38:51
9;3;17.12.2018 09:38:56
9;4;17.12.2018 09:38:59
9;5;17.12.2018 09:39:04
9;5;17.12.2018 09:39:05
9;5;17.12.2018 09:39:06
9;5;17.12.2018 09:39:07
9;5;17.12.2018 09:39:08
9;5;17.12.2018 09:39:09
9;5;17.12.2018 09:39:10
9;5;17.12.2018 09:39:11
9;5;17.12.2018 09:39:12
9;5;17.12.2018 09:39:13
9;5;17.12.2018 09:39:14
9;5;17.12.2018 09:39:15
9;5;17.12.2018 09:39:16
9;5;17.12.2018 09:39:17
9;5;17.12.2018 09:39:19
9;5;17.12.2018 09:39:20
9;5;17.12.2018 09:39:22
9;5;17.12.2018 09:39:23
9;5;17.12.2018 09:39:24
9;5;17.12.2018 09:39:25
9;5;17.12.2018 09:39:26
9;5;17.12.2018 09:39:27
9;5;17.12.2018 09:39:31
9;5;17.12.2018 09:39:57
9;5;17.12.2018 09:39:59
9;5;17.12.2018 09:40:00
9;5;17.12.2018 09:40:02
9;5;17.12.2018 09:40:03
9;5;17.12.2018 09:40:04
9;5;17.12.2018 09:40:05
9;5;17.12.2018 09:40:06
9;5;17.12.2018 09:40:07
9;4;17.12.2018 10:05:10
9;5;17.12.2018 10:05:32
9;5;17.12.2018 10:05:35
9;4;17.12.2018 10:10:31
9;14;17.12.2018 10:11:24
9;14;17.12.2018 10:13:18
9;16;17.12.2018 10:25:51
9;17;17.12.2018 10:25:52
9;7;17.12.2018 10:25:53
9;4;17.12.2018 10:25:53
9;4;17.12.2018 10:26:15
9;16;17.12.2018 10:26:15
9;7;17.12.2018 10:26:15
9;4;17.12.2018 10:47:05
10;0;12.12.2018 11:44:35
10;2;12.12.2018 11:44:38
10;3;12.12.2018 11:44:47
10;14;12.12.2018 11:44:49
10;5;12.12.2018 11:45:34
10;5;12.12.2018 11:45:40
10;5;12.12.2018 11:45:42
10;5;12.12.2018 11:45:49
10;5;12.12.2018 11:46:37
10;5;12.12.2018 11:46:38
10;5;12.12.2018 11:46:42
10;5;12.12.2018 11:46:43
10;5;12.12.2018 11:46:45
10;5;12.12.2018 11:46:49
10;5;12.12.2018 11:46:50
10;5;12.12.2018 11:46:54
10;5;12.12.2018 11:46:55
10;5;12.12.2018 11:46:56
10;5;12.12.2018 11:46:59
10;5;12.12.2018 11:47:01
10;5;12.12.2018 11:47:03
10;5;12.12.2018 11:47:04
10;5;12.12.2018 11:47:07
10;5;12.12.2018 11:47:09
10;5;12.12.2018 11:47:10
11;0;11.12.2018 07:58:19
11;2;11.12.2018 07:58:21
11;3;11.12.2018 07:58:25
11;14;11.12.2018 07:58:32
12;0;18.12.2018 11:05:38
12;2;18.12.2018 11:05:41
12;3;18.12.2018 11:05:48
12;18;18.12.2018 11:05:57
12;8;18.12.2018 11:06:05
12;7;18.12.2018 11:06:05
12;8;18.12.2018 11:06:05
12;8;18.12.2018 11:06:05
12;8;18.12.2018 11:06:05
12;8;18.12.2018 11:06:05
12;8;18.12.2018 11:06:05
12;7;18.12.2018 11:06:11
12;19;18.12.2018 11:06:12
12;18;18.12.2018 11:06:18
12;8;18.12.2018 11:06:21
12;8;18.12.2018 11:06:21
12;8;18.12.2018 11:06:21
12;8;18.12.2018 11:06:21
12;8;18.12.2018 11:06:21
12;7;18.12.2018 11:06:21
12;8;18.12.2018 11:06:21
12;7;18.12.2018 11:06:49
12;19;18.12.2018 11:06:50
12;18;18.12.2018 11:07:41
12;8;18.12.2018 11:07:44
12;8;18.12.2018 11:07:44
12;8;18.12.2018 11:07:44
12;8;18.12.2018 11:07:44
